자동추출_모델명,상품ID,캠페인명,자동추출_카테고리,수동 적용_모델명,수동 적용_카테고리
<파워>VR80F01SDG,,파워_청소기,청소기,,청소기
<파워>01. VR7MD96516G,,파워_청소기,청소기,,청소기
<파워>파워_시스템에어컨_메인 키워드,,파워_시스템에어컨_26년,시스템에어컨,,시스템에어컨
<파워>02. 파트너K,,파워_공식몰,그 외 상품,,그 외 상품
<파워>01. 자사K,,파워_공식몰,그 외 상품,,그 외 상품
<파워>01. 으뜸효율K,,파워_TV,TV,,TV
VR7MD96516G,11126894915,쇼핑상품_카테고리분류,청소기,,청소기
VR7MD96516,11529678235,쇼핑상품_카테고리분류,청소기,,청소기
VC33M2105LD,12011969196,쇼핑상품_카테고리분류,청소기,,청소기
SBD-XNR755W,9973693218,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
KU85UD8070,10269522239,쇼핑상품_카테고리분류,TV,,TV
KU43UD8070FXKR,9946106508,쇼핑상품_카테고리분류,TV,,TV
KU43F6510,12083986077,쇼핑상품_카테고리분류,TV,,TV
KU32H5510,11644857372,쇼핑상품_카테고리분류,TV,,TV
KQ85QNF900,12764487629,쇼핑상품_카테고리분류,TV,,TV
KQ85QNF83,12727512126,쇼핑상품_카테고리분류,TV,,TV
KQ85QNF80,12764433973,쇼핑상품_카테고리분류,TV,,TV
KQ85QNF75,12764419875,쇼핑상품_카테고리분류,TV,,TV
KQ85QNDX1,12764451143,쇼핑상품_카테고리분류,TV,,TV
KQ85QND83,12764376106,쇼핑상품_카테고리분류,TV,,TV
KQ85LSF03,11644832848,쇼핑상품_카테고리분류,TV,,TV
KQ75QNF9X,12764477628,쇼핑상품_카테고리분류,TV,,TV
KQ75QNF900,12764497433,쇼핑상품_카테고리분류,TV,,TV
KQ75LSF03,11644840638,쇼핑상품_카테고리분류,TV,,TV
KQ65SF90,12465654731,쇼핑상품_카테고리분류,TV,,TV
KQ65QND88,12764415379,쇼핑상품_카테고리분류,TV,,TV
KQ65QF7D,11644713233,쇼핑상품_카테고리분류,TV,,TV
KQ65QF6A,12321173384,쇼핑상품_카테고리분류,TV,,TV
KQ65QD66AFXKR,12464919025,쇼핑상품_카테고리분류,TV,,TV
KQ65QC75,8900387641,쇼핑상품_카테고리분류,TV,,TV
KQ65LSF03,11644843650,쇼핑상품_카테고리분류,TV,,TV
KQ55QF7D,12355095167,쇼핑상품_카테고리분류,TV,,TV
KQ55QF6A,12321196219,쇼핑상품_카테고리분류,TV,,TV
KQ50QF7A,12355131033,쇼핑상품_카테고리분류,TV,,TV
KQ43LSD03AFXKR,9946223159,쇼핑상품_카테고리분류,TV,,TV
KQ42SF9E,13238510532,쇼핑상품_카테고리분류,TV,,TV
KQ42SF90,12355210375,쇼핑상품_카테고리분류,TV,,TV
CFX-K100D,11330055191,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-J540D,7999773995,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H540D,7999779679,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H340D,10301364931,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H180D,10844312914,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H170D,11672950016,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H1705D,10301361227,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H1605D,7999699877,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-H100D,11562278118,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
CFX-,11091867623,쇼핑상품_카테고리분류,그 외 상품,,그 외 상품
AX033DB990EGD,10302389791,쇼핑상품_카테고리분류,공기청정기,,공기청정기
AX033DB990,11577008662,쇼핑상품_카테고리분류,공기청정기,,공기청정기
AR50F10D13HS,13426614927,쇼핑상품_카테고리분류,에어컨,,에어컨
AP70F03102,12320284562,쇼핑상품_카테고리분류,공기청정기,,공기청정기
AN40CSX6P47SSY,12482493627,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AN40BSX5P44SSY,11236618984,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AN30BSX4P36SSY,8778258868,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AN30BSX3P30SSY,12483099712,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AN23BSX2P26SSY,12482416796,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AJ40CSS6P42SSY,11831062072,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AJ40BSS5P44SSY,11356740193,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AJ30BSS4P36SSY,13441164459,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AJ23BSS3P29SSY,8596060644,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AJ23BSS2P26SSY,11830511989,쇼핑상품_카테고리분류,시스템에어컨,,시스템에어컨
AF70F19D11GR,11673978727,쇼핑상품_카테고리분류,에어컨,,에어컨
AF70F19D11G,11673856765,쇼핑상품_카테고리분류,에어컨,,에어컨
AF70F17D11GR,13426601620,쇼핑상품_카테고리분류,에어컨,,에어컨
AF70F17D11G,11674025023,쇼핑상품_카테고리분류,에어컨,,에어컨
VG-SCFA85BWBKR,12565707141,쇼핑검색_TEST,그 외 상품,,그 외 상품
VG-SCFA55WTBKR,12929585939,쇼핑검색_TEST,그 외 상품,,그 외 상품
TEST,,쇼핑검색_TEST,청소기,,청소기
SFN-X35GSPA,11977917451,쇼핑검색_TEST,그 외 상품,,그 외 상품
MNA89MS1BACXKR,12585281343,쇼핑검색_TEST,TV,,TV
MNA114MS1CCXKR,12585215769,쇼핑검색_TEST,TV,,TV
MNA101MS1BCXKR,12585257101,쇼핑검색_TEST,TV,,TV
KQ98QF7A,12925478454,쇼핑검색_TEST,TV,,TV
KQ85QNF990,11717022934,쇼핑검색_TEST,TV,,TV
KQ83SF95,11993754866,쇼핑검색_TEST,TV,,TV
KQ83SF85,11644462448,쇼핑검색_TEST,TV,,TV
KQ77SF95,11993805836,쇼핑검색_TEST,TV,,TV
KQ77SF90,11529934478,쇼핑검색_TEST,TV,,TV
KQ77SF85,11644582172,쇼핑검색_TEST,TV,,TV
KQ75QNF70,12764407429,쇼핑검색_TEST,TV,,TV
KQ65SF95,11993963056,쇼핑검색_TEST,TV,,TV
KQ65SF85,11644657915,쇼핑검색_TEST,TV,,TV
KQ55SF95,11993984095,쇼핑검색_TEST,TV,,TV
KQ55LSF03,11529972322,쇼핑검색_TEST,TV,,TV
KQ50LSF03AFXKR,11831080188,쇼핑검색_TEST,TV,,TV
KQ43LSF03AFXKR,11529980380,쇼핑검색_TEST,TV,,TV
KQ100QNF80FXKR,11644697948,쇼핑검색_TEST,TV,,TV
KMR115MRF95XKR,12585346870,쇼핑검색_TEST,TV,,TV
HW-S55B/KR,9403048913,쇼핑검색_TEST,SD,,SD
HW-Q930F/KR,11890807735,쇼핑검색_TEST,SD,,SD
HW-LS60D/KR,11042316110,쇼핑검색_TEST,SD,,SD
CFX-J1605D,7999707488,쇼핑검색_TEST,그 외 상품,,그 외 상품
CFX-D100D,11329982060,쇼핑검색_TEST,그 외 상품,,그 외 상품
CFX-B100D,11329976665,쇼핑검색_TEST,그 외 상품,,그 외 상품
CFX-2TAB,8626576782,쇼핑검색_TEST,그 외 상품,,그 외 상품
CFX-2TAA,8626512215,쇼핑검색_TEST,그 외 상품,,그 외 상품
AN50CSX6P54SSY,12482513099,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN40CSX5P44SSY,12339360168,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN40CSX5P34SSY,12565407918,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN40BSX5P34SSY,11831259842,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN30CSX4P36SSY,12248731976,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN30CSX3P30SSY,12482446228,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN30CSU4P36SSY,8783782746,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN23CSX3P26SSY,12422321695,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AN23BSX3P26SSY,12422347376,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ50CSS6P50SSY,11831102876,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ40CSS6P47SSY,11831085336,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ40CSS5P44SSY,11831020909,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ40CSS4P42SSY,11831003643,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ40BSS4P38SSY,11830933389,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30CSS5P36SSY,12423082581,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30CSS5P36SST,12444237142,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30CSS4P36SSY,12248157730,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30CSS3P36SSY,11830829333,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30CSS3P32SSY,12248228020,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30BSS5P36SST,11831040963,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ30BSS3P32SSY,12248221400,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS3P29SSY,12615492537,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS3P26SSY,11830759186,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23CSS2P26SSY,11830533331,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ23BSS3P26SSY,11356730269,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS3P18SSY,11830543918,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS2P16SSY,12247960386,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18CSS1P18SSY,8595592601,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18BSS3P18SSY,12248077928,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AJ18BSS1P18SSY,8595600330,쇼핑검색_TEST,시스템에어컨,,시스템에어컨
AF-C3F1D,12210963099,쇼핑검색_TEST,그 외 상품,,그 외 상품
VS20C954AQK,12177594215,쇼핑_청소기,청소기,,청소기
VC33M4142L4,12011973735,쇼핑_청소기,청소기,,청소기
AY18CG7500,11813827609,쇼핑_제습기,제습기,,제습기
AR10B5150HZS,11947856034,쇼핑_에어컨,에어컨,,에어컨
AJ18BSS2P16SSY,11356684986,쇼핑_에어컨,시스템에어컨,,시스템에어컨
AF17C7932,12084076147,쇼핑_에어컨,에어컨,,에어컨
IZ-B33RWD2E,12236550059,쇼핑_비데,그 외 상품,,그 외 상품
KQ75QNF70B,12764393070,쇼핑_TV,TV,,TV
KQ65SF8E,13268303017,쇼핑_TV,TV,,TV
(미매칭)_🟤MD_상품모음_테스트,,🟤MD_상품모음_테스트,그 외 상품,,그 외 상품
HW-Q930H/KR,13364322369,🟣SD사운드바_HW-Q930H/KR,SD,HW-Q930H/KR,SD
HW-LS70H/KR,13365410246,🟣SD사운드바_HW-LS70H/KR,SD,HW-LS70H/KR,SD
HW-LS51H/KR,13365108130,🟣SD사운드바_HW-LS51H/KR,SD,HW-LS51H/KR,SD
HW-LS50H/KR,13364980157,🟣SD사운드바_HW-LS50H/KR,SD,HW-LS50H/KR,SD
AY70H18100,13141556069,🟢제습기_AY70H18100GVD,제습기,AY70H18100GVD,제습기
VR7MD97716G,13110922873,🖤로봇청소기_VR7MD97716G,청소기,VR7MD97716G,청소기
KQ98QF7AAFXKR,,🔴TV98인치_KQ98QF7AAFXKR,TV,KQ98QF7AAFXKR,TV
KU85MH75,13375852016,🔴TV85인치_KU85MH75AFXKR,TV,KU85MH75AFXKR,TV
KQ85QNH70,13268307284,🔴TV85인치_KQ85QNH70AFXKR,TV,KQ85QNH70AFXKR,TV
KQ85QND900,13052855869,🔴TV85인치_KQ85QND900FXKR,TV,KQ85QND900FXKR,TV
KQ85QF7S,13472759594,🔴TV85인치_KQ85QF7SAFXKR,TV,KQ85QF7SAFXKR,TV
KU75MH70,13155140429,🔴TV75인치_KU75MH70AFXKR,TV,KU75MH70AFXKR,TV
KQ75QNF70BFXKR,,🔴TV75인치_KQ75QNF70BFXKR(삭제),TV,KQ75QNF70BFXKR,TV
KU65UF8030,13332374270,🔴TV65인치_KU65UF8030FXKR,TV,KU65UF8030FXKR,TV
KQ65SF8EAEXKR,,🔴TV65인치_KQ65SF8EAEXKR,TV,KQ65SF8EAEXKR,TV
KQ65QF8A,13332464497,🔴TV65인치_KQ65QF8AAFXKR,TV,KQ65QF8AAFXKR,TV
KQ50QD67,12727507385,🔴TV50인치_KQ50QD67AFXKR,TV,KQ50QD67AFXKR,TV
KU43MH70,13268311410,🔴TV43인치_KU43MH70AFXKR,TV,KU43MH70AFXKR,TV
AW06C7155,13426613012,💙창문형에어컨_AW06C7155GWA,에어컨,AW06C7155GWA,에어컨
AF90H17D27S,13413687198,💙스탠드에어컨_AF90H17D27SS,에어컨,AF90H17D27SS,에어컨
AF70F17D11GS,,💙스탠드에어컨_AF70F17D11GS,에어컨,AF70F17D11GS,에어컨
AF90H17D27SR,13413811315,💙멀티형에어컨_AF90H17D27SRS,에어컨,AF90H17D27SRS,에어컨
AF70F17D11GRS,,💙멀티형에어컨_AF70F17D11GRS,에어컨,AF70F17D11GRS,에어컨
